   169/299     2.46G   0.01848   0.01315 0.0008197   0.03246        74       640    0.7674    0.8449    0.8441    0.6221   0.02633   0.01925  0.003122
   170/299     2.46G   0.01845   0.01342  0.001091   0.03297        19       640    0.7734     0.855    0.8512    0.6242   0.02622   0.01925  0.003316
   171/299     2.46G   0.01857   0.01321  0.001071   0.03286        14       640    0.7821    0.8447    0.8455    0.6222   0.02636   0.01963  0.003528
   172/299     2.46G   0.01815   0.01302  0.001036   0.03221        24       640    0.7769    0.8455    0.8422    0.6181   0.02647   0.02012  0.003365
   173/299     2.46G   0.01844   0.01292 0.0009515   0.03231        21       640    0.7876    0.8497    0.8486    0.6279   0.02679   0.01987  0.003264
   174/299     2.46G   0.01743   0.01265 0.0009633   0.03104        24       640    0.8032    0.8522    0.8554    0.6321   0.02658   0.01951  0.003427
   175/299     2.46G   0.01808   0.01332  0.001021   0.03242        23       640    0.7961    0.8534    0.8584    0.6346   0.02664   0.01964  0.003372
   176/299     2.46G   0.01772   0.01273  0.000927   0.03138        21       640    0.7892    0.8563    0.8603    0.6276   0.02642   0.01971  0.003404
   177/299     2.46G   0.01753   0.01272  0.000915   0.03117        29       640    0.7872    0.8553    0.8476    0.6284   0.02684   0.01984  0.003134
   178/299     2.46G   0.01779   0.01323   0.00101   0.03203        34       640    0.7888    0.8517    0.8471    0.6209   0.02668   0.01981  0.003638
