   126/199     2.51G   0.03237  0.008037   0.00151   0.04192         5       640    0.9291         1    0.9952    0.8252    0.0183  0.003679  0.001261
   127/199     2.51G   0.03666  0.008802  0.001733   0.04719         4       640    0.9376         1    0.9953    0.8763    0.0177  0.003628  0.001274
   128/199     2.51G   0.03263  0.008288  0.001685    0.0426         8       640    0.9251         1    0.9954      0.85   0.01451  0.003593  0.001301
   129/199     2.51G   0.03133  0.007976  0.001636   0.04094         7       640     0.945         1    0.9954    0.8288   0.01732  0.003721   0.00128
   130/199     2.51G    0.0332  0.007478  0.001532   0.04221         7       640    0.9294         1    0.9953    0.8846   0.01604  0.003465  0.001279
   131/199     2.51G   0.03185  0.007174  0.001551   0.04058         4       640    0.9568         1    0.9954    0.9108   0.01289  0.003326  0.001261
   132/199     2.51G   0.02983  0.007801   0.00153   0.03917         4       640    0.9568         1    0.9954    0.8791   0.01363  0.003347  0.001232
   133/199     2.51G    0.0341  0.008626  0.001672   0.04439         7       640     0.959         1    0.9954    0.8708   0.01545   0.00342  0.001237
   134/199     2.51G   0.02851  0.008135  0.001491   0.03814         3       640    0.9477         1    0.9955     0.879   0.01658   0.00343  0.001192
   135/199     2.51G   0.03408  0.008182  0.001599   0.04387         7       640    0.9555         1    0.9954    0.8904   0.01354  0.003325  0.001196
   136/199     2.51G   0.02894  0.006844  0.001406   0.03719         6       640    0.9074         1    0.9955    0.8754   0.01313   0.00331  0.001182
   137/199     2.51G   0.03145  0.008147  0.001495   0.04109         5       640    0.9501         1    0.9955    0.8921   0.01567  0.003406  0.001172
   138/199     2.51G   0.03374  0.008045   0.00177   0.04355        10       640    0.9648         1    0.9955     0.916    0.0117  0.003115  0.001184
   139/199     2.51G    0.0309  0.007375  0.001551   0.03983         6       640    0.9646         1    0.9955    0.9042   0.01396  0.003251  0.001164
   140/199     2.51G    0.0291  0.008188  0.001605    0.0389         5       640    0.9645         1    0.9955    0.9236   0.01319  0.003201  0.001141
   141/199     2.51G   0.03107  0.007859  0.001444   0.04037         9       640    0.9697         1    0.9955    0.8402   0.01615  0.003405  0.001124
   142/199     2.51G   0.03624  0.007832  0.001735    0.0458         7       640    0.9519         1    0.9955    0.8921   0.01415  0.003327  0.001146
   143/199     2.51G   0.03112  0.007839  0.001472   0.04043         5       640    0.9616         1    0.9955    0.9327   0.01329  0.003089  0.001144
   144/199     2.51G   0.02899  0.007071   0.00144    0.0375         3       640    0.9547         1    0.9955     0.933   0.01563  0.003226   0.00114
   145/199     2.51G   0.02944  0.006403  0.001407   0.03725         4       640    0.9641         1    0.9955    0.9031   0.01421  0.003249  0.001153
   146/199     2.51G   0.02831  0.006851  0.001342    0.0365         5       640    0.9638         1    0.9955    0.9238   0.01173  0.003104  0.001144
